ID,Title,Author,Publication Date,Language,LoC Class,Subjects,Link
72305,The yes men of Venus by Ron Goulart (241),"Goulart, Ron, 1933-2022","Dec 3, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72305
863,The Mysterious Affair at Styles by Agatha Christie (240),"Christie, Agatha, 1890-1976","Mar 1, 1997",English,PR: Language and Literatures: English literature,"Private investigators -- England -- Fiction, Detective and mystery stories, Belgians -- England -- Fiction, Poirot, Hercule (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/863
120,Treasure Island by Robert Louis Stevenson (240),"Stevenson, Robert Louis, 1850-1894","Feb 26, 2006",English,PR: Language and Literatures: English literature,"Sea stories, Pirates -- Fiction, Treasure troves -- Fiction, Treasure Island (Imaginary place) -- Fiction",https://www.gutenberg.org/ebooks/120
158,Emma by Jane Austen (240),"Austen, Jane, 1775-1817","Aug 1, 1994",English,PR: Language and Literatures: English literature,"Humorous stories, England -- Fiction, Young women -- Fiction, Love stories, Fathers and daughters -- Fiction, Bildungsromans, Mate selection -- Fiction, Female friendship -- Fiction",https://www.gutenberg.org/ebooks/158
7370,Second Treatise of Government by John Locke (238),"Locke, John, 1632-1704","Jan 1, 2005",English,JC: Political science: Political theory,"Political science -- Early works to 1800, Toleration -- Early works to 1800, Liberty -- Early works to 1800",https://www.gutenberg.org/ebooks/7370
72291,Education and life by James Hutchins Baker (237),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/72291
1399,Anna Karenina by graf Leo Tolstoy (236),"Tolstoy, Leo, graf, 1828-1910","Jul 1, 1998",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Adultery -- Fiction, Didactic fiction, Love stories, Married women -- Fiction, Russia -- Fiction",https://www.gutenberg.org/ebooks/1399
3825,Pygmalion by Bernard Shaw (224),"Shaw, Bernard, 1856-1950","Mar 1, 2003",English,PR: Language and Literatures: English literature,"Comedies, Speech and social status -- Drama, London (England) -- Drama, Linguistics teachers -- Drama, Social classes -- Drama, Flower vending -- Drama",https://www.gutenberg.org/ebooks/3825
996,Don Quixote by Miguel de Cervantes Saavedra (223),"Cervantes Saavedra, Miguel de, 1547-1616","Jul 27, 2004",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Spain -- Social life and customs -- 16th century -- Fiction, Knights and knighthood -- Spain -- Fiction, Picaresque literature, Romances",https://www.gutenberg.org/ebooks/996
244,A Study in Scarlet by Arthur Conan Doyle (223),"Doyle, Arthur Conan, 1859-1930","Apr 1, 1995",English,PR: Language and Literatures: English literature,"Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Detective and mystery stories, England -- Fiction",https://www.gutenberg.org/ebooks/244
41,The Legend of Sleepy Hollow by Washington Irving (218),"Irving, Washington, 1783-1859","Jun 27, 2008",English,PS: Language and Literatures: American and Canadian literature,"Ghosts -- Fiction, New York (State) -- History -- 1775-1865 -- Fiction",https://www.gutenberg.org/ebooks/41
105,Persuasion by Jane Austen (217),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/105
23700,The Decameron of Giovanni Boccaccio by Giovanni Boccaccio (216),"Boccaccio, Giovanni, 1313-1375","Dec 3, 2007",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Plague -- Europe -- History -- Fiction, Storytelling -- Fiction, Allegories, Frame-stories",https://www.gutenberg.org/ebooks/23700
67098,Winnie-the-Pooh by A. A.  Milne (216),"Milne, A. A. (Alan Alexander), 1882-1956","Jan 3, 2022",English,PZ: Language and Literatures: Juvenile belles lettres,"Toys -- Juvenile fiction, Teddy bears -- Juvenile fiction, Winnie-the-Pooh (Fictitious character) -- Juvenile fiction, Piglet (Fictitious character) -- Juvenile fiction, Eeyore (Fictitious character) -- Juvenile fiction, Christopher Robin (Fictitious character) -- Juvenile fiction",https://www.gutenberg.org/ebooks/67098
2852,The Hound of the Baskervilles by Arthur Conan Doyle (214),"Doyle, Arthur Conan, 1859-1930","Oct 1, 2001",English,PR: Language and Literatures: English literature,"Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Dogs -- Fiction, Detective and mystery stories, Blessing and cursing -- Fiction, Dartmoor (England) -- Fiction",https://www.gutenberg.org/ebooks/2852
31516,The Eyes Have It by Philip K. Dick (214),"Dick, Philip K., 1928-1982","Mar 6, 2010",English,PS: Language and Literatures: American and Canadian literature,"Science fiction, Short stories, Humorous stories",https://www.gutenberg.org/ebooks/31516
2148,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe (212),"Poe, Edgar Allan, 1809-1849","Apr 1, 2000",English,PS: Language and Literatures: American and Canadian literature,"Short stories, Fantasy fiction, Horror tales, American, American fiction -- 19th century",https://www.gutenberg.org/ebooks/2148
20228,Noli Me Tangere by José Rizal (211),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/20228
